frame_number,class_id,confidence,x1,y1,x2,y2
0,2,0.9221947193145752,840.6209716796875,188.44561767578125,872.59521484375,247.6898193359375
0,2,0.9199864864349365,794.9989013671875,470.84637451171875,863.22802734375,564.7769165039062
0,2,0.9167728424072266,432.42626953125,160.12606811523438,467.7269287109375,228.37353515625
0,2,0.9165886044502258,887.840087890625,124.18533325195312,913.689697265625,176.92404174804688
0,2,0.9120137095451355,144.54037475585938,266.0940246582031,189.73580932617188,348.0670471191406
0,2,0.9105017185211182,1086.64306640625,344.74847412109375,1136.12548828125,441.88507080078125
0,2,0.9067960381507874,370.99591064453125,154.66192626953125,405.12030029296875,217.0335693359375
0,2,0.9054575562477112,705.1915283203125,85.0342788696289,733.3677978515625,128.61611938476562
0,2,0.900458574295044,722.1785278320312,195.67385864257812,756.6033325195312,262.5398864746094
0,2,0.8987622261047363,1238.447265625,146.2358856201172,1269.03857421875,210.77464294433594
0,2,0.897732675075531,559.1448364257812,95.28443145751953,582.8989868164062,145.309814453125
0,2,0.8909288048744202,396.0081787109375,423.07904052734375,448.9219970703125,498.59588623046875
0,2,0.8877089619636536,1135.76220703125,252.72698974609375,1178.83056640625,337.91351318359375
0,2,0.8765150308609009,536.2410888671875,429.16656494140625,579.5931396484375,520.8383178710938
0,2,0.8614915609359741,496.8634033203125,431.583251953125,546.622314453125,519.96240234375
0,2,0.8596358895301819,638.2843017578125,220.83157348632812,662.0255126953125,296.5641174316406
0,3,0.8327661752700806,639.8751220703125,220.40634155273438,662.096923828125,296.7013244628906
0,3,0.3301819860935211,570.827392578125,50.62982177734375,593.192138671875,89.75175476074219
1,2,0.9308421611785889,805.8055419921875,466.98834228515625,873.9127197265625,559.9640502929688
1,2,0.9157881736755371,1088.431884765625,344.08050537109375,1148.307861328125,440.3521728515625
1,2,0.9151103496551514,443.8914794921875,161.06930541992188,480.8170166015625,228.12942504882812
1,2,0.9140872359275818,853.0142211914062,188.60693359375,879.7327270507812,247.79168701171875
1,2,0.9103906750679016,383.63104248046875,155.040283203125,419.15582275390625,216.02178955078125
1,2,0.9092922210693359,406.12969970703125,420.7972412109375,459.46221923828125,497.9932861328125
1,2,0.9057235717773438,155.78012084960938,265.8580322265625,202.77175903320312,347.84881591796875
1,2,0.9022284746170044,1250.547607421875,146.65924072265625,1280.0,211.17828369140625
1,2,0.8992398977279663,733.4954833984375,194.6160888671875,761.891357421875,262.3397216796875
1,2,0.8961476683616638,1148.464599609375,254.7362060546875,1186.904541015625,338.62841796875
1,2,0.8928641676902771,569.8670654296875,94.61819458007812,596.5101318359375,145.77020263671875
1,2,0.8928278684616089,899.940673828125,125.10348510742188,922.5782470703125,177.68411254882812
1,2,0.8882462382316589,719.4021606445312,85.48611450195312,745.2249145507812,127.919677734375
1,3,0.8672025203704834,651.723876953125,220.4720458984375,672.40625,296.1295166015625
1,2,0.8429144620895386,536.37451171875,429.35308837890625,578.5205078125,518.4052124023438
1,2,0.8353025913238525,506.79803466796875,433.5118408203125,546.8543090820312,519.611083984375
1,2,0.4816662073135376,649.9542846679688,220.90530395507812,672.4774780273438,296.3415222167969
2,2,0.93365079164505,814.2799072265625,465.03466796875,882.7994384765625,555.768798828125
2,2,0.9321069121360779,164.86550903320312,265.06573486328125,214.79913330078125,347.27947998046875
2,2,0.9188250303268433,456.572509765625,160.5568389892578,494.92913818359375,227.1354217529297
2,2,0.9139910340309143,395.89117431640625,155.25161743164062,431.46270751953125,216.49264526367188
2,2,0.9120516777038574,863.998779296875,188.3447265625,891.443603515625,248.41012573242188
